idx	X	Y	component
0	1000	2935.187747449371	0
1	1060.859757833071	2871.980728831565	0
2	1060.85970354816	2871.980968933463	0
3	1060.227071821966	2871.216797232222	0
4	1060.862982221694	2871.979531384337	0
5	1060.23169608936	2871.21072887125	0
6	1060.232351099029	2871.210498275518	0
7	1132.323914021925	2804.972111552733	0
8	1132.222642944119	2805.06981574203	0
9	1132.391837114152	2804.906133029204	0
10	1132.395407575317	2804.903728940249	0
11	1162.532507624057	2783.310235880657	0
12	1162.532605107094	2783.310317441739	0
13	1162.886492395644	2782.352884720312	0
14	1162.533209562325	2783.309935782871	0
15	1162.89095978282	2782.350308375363	0
16	1162.891213519027	2782.350067266798	0
17	1203.175550037754	2757.163250441976	0
18	1203.176423342042	2757.162541477236	0
19	1203.918733680795	2756.457740276542	0
20	1203.177152665339	2757.161044302233	0
21	1203.932038704662	2756.450668274348	0
22	1203.930644530342	2756.451402130461	0
23	1217.817260845453	2747.382759272014	0
24	1217.810001573763	2747.386331355089	0
25	1218.614616502196	2746.735189945965	0
26	1217.816719774084	2747.383195029568	0
27	1218.616329127812	2746.73455627452	0
28	1218.617343467216	2746.733920471826	0
29	1226.084814581623	2742.548538320792	0
30	1226.086370064382	2742.547150044832	0
31	1226.400265243568	2742.226493689148	0
32	1226.399208869457	2742.22627807859	0
33	1235.630003329617	2735.40719224727	0
34	1235.628908694606	2735.408035047397	0
35	1236.317866287511	2734.659906987037	0
36	1235.651817077694	2735.414441735933	0
37	1236.316441638632	2734.661010973125	0
38	1236.317462857241	2734.659589120418	0
39	1246.651355360826	2726.141598813889	0
40	1246.650373099686	2726.141621424282	0
41	1247.389179001524	2725.442818603638	0
42	1246.651901275826	2726.141378593019	0
43	1247.395624118293	2725.440133407458	0
44	1247.395624117403	2725.440133407913	0
45	1261.774496942765	2717.068816121714	0
46	1261.767407675854	2717.072626101226	0
47	1262.672849864987	2717.093587057633	0
48	1261.773345291553	2717.069739678154	0
49	1262.756043811042	2716.947944833857	0
50	1262.756017620575	2716.947965623522	0
51	1279.576432911445	2706.384969980948	0
52	1279.428376301198	2706.459942357359	0
53	1280.566707485232	2705.990115355162	0
54	1279.579001997646	2706.384003966366	0
55	1280.567019623794	2705.985598118217	0
56	1280.569846241857	2705.987915288047	0
57	1302.103628303837	2693.137845847888	0
58	1302.141725719329	2693.125743022246	0
59	1303.001821026022	2692.977894734516	0
60	1302.105675577266	2693.137589125031	0
61	1303.010265015676	2692.973513764802	0
62	1303.006984547553	2692.974708669733	0
63	1313.726743760063	2686.317376155434	0
64	1313.72748473013	2686.316925018848	0
65	1314.202643947118	2685.41807912202	0
66	1313.729763403155	2686.315396471936	0
67	1314.215915729501	2685.413832248154	0
68	1314.216909273382	2685.413033973168	0
69	1369.03186483909	2658.052687659695	0
70	1369.033545391101	2658.052022543483	0
71	1369.821580503298	2657.388081035122	0
72	1369.035521751302	2658.052653455468	0
73	1369.816524516403	2657.392157629449	0
74	1369.817658085144	2657.391215093171	0
75	1405.688911747904	2633.611946564683	0
